"index"	"Date (MM/DD/YYYY)"	"File"	"Gtype"	"Flight Time"	"Start Time"	"End Time"	"Landing"	"Start_Alt (ft MSL)"	"Max Altitude (ft MSL/ft AGL)"	"Surface Height (ft MSL)"	"Pressure Altitude (ft MSL)"	"Offset (ft)"	"Sensor Info"	"ENL_Engine_Run_Start_Times"	"MOP_Engine_Run_Start_Times"	"RPM_Engine_Run_Start_Times"	"ENL_Engine_Run_Altitudes_MSL"	"MOP_Engine_Run_Altitudes_MSL"	"RPM_Engine_Run_Altitudes_MSL"	"ENL_Engine_Run_Altitudes_AGL"	"MOP_Engine_Run_Altitudes_AGL"	"RPM_Engine_Run_Altitudes_AGL"	"ENL_Noise_Registration_Times"	"MOP_Noise_Registration_Times"	"RPM_Noise_Registration_Times"	"ENL_Noise_Registration_Altitudes_AGL"	"MOP_Noise_Registration_Altitudes_AGL"	"RPM_Noise_Registration_Altitudes_AGL"	"first_event_time"	"event_type"	"event_sensor"	"first_event_datetime"	"flight_start_datetime"	"window_start"	"window_end"	"engine_run_agls"	"altitude_rate_pre_event_window (ft/s)"	"distance_traveled_during_window (miles)"	"is_circling_during_pre_event_window"	"terrain_elev_at_engine_run (ft)"	"terrain_label_at_engine_run"	"Engine_Start_Above_1000ft"	"engine_run_times (s)"	"height_gain_loss (ft)"	"avg_speed_while_engine_running (knots)"	"min_speed_while_engine_running (knots)"	"max_speed_while_engine_running (knots)"	"All_Min_TAS_knots"	"All_Max_TAS_knots"	"All_Avg_TAS_knots"	"All_Post_Run_Min_TAS_knots"	"All_Post_Run_Max_TAS_knots"	"All_Post_Run_Avg_TAS_knots"	"Circling_Segment_Found"	"Min_Speed_While_Engine_Running_knots"	"Max_Speed_While_Engine_Running_knots"	"Avg_Speed_While_Engine_Running_knots"
"1114"	"07/02/2017"	"2017-07-02-NKL-10R-01.IGC"	"DISCUS-2CT"	"2:34:28"	"161116"	"184544"	"HOME"	"1699"	"6256[5262]"	"518"	"496"	"-22"	"Discus2ct's ENL monitor reports Engine Run 7 minutes, starts at T=170312 and: 2503 msl [1621 agl]; Height gain/loss is: 1115
Discus2ct's ENL monitor reports Engine Run 6 minutes, starts at T=182748 and: 2450 msl [899 agl]; Height gain/loss is: 1234
Discus2ct Motor noise registered by ENL sensor at t=['161552', '161616', '170312', '171020', '182748', '183432'] and [1592, 1657, 1621, 2519, 899, 2389]AGL"	"170312,182748"	""	""	"2503,2450"	""	""	"1621.0,899.0"	""	""	"161552,161616,170312,171020,182748,183432"	""	""	"1592.0,1657.0,1621.0,2519.0,899.0,2389.0"	""	""	"170312"	"Engine_Run_Start"	"ENL"	"2017-07-02 17:03:12"	"1900-01-01 16:11:16"	"2017-07-02 16:58:12"	"2017-07-02 17:03:12"	"1621.0,899.0"	"-0.8166666666666667,-1.01"	"6.48651536738943,6.220294483967859"	"False,False"	"893.1023590649414,1516.6674120581054"	"Open Forest, Other,Closed Forest, Deciduous Broadleaf"	"True,False"	"420,360"	"1115, 1234"	""	""	""	"50.5,64.7"	"69.5,78.6"	"59.1,68.6"	"53.7,67.0"	"78.6,94.4"	"62.5,81.5"	"True"	""	""	""
"1118"	"03/10/2017"	"2017-03-10-LXV-1OL-01.IGC"	"DG-808 C"	"3:50:03"	"173929"	"212932"	"HOME"	"144"	"5977[5836]"	"44"	"-21"	"-65"	"DG808B's ENL monitor reports Engine Run 3 minutes, starts at T=173929 and: 137 msl [16 agl]; Height gain/loss is: 2061
DG808B's ENL monitor reports Engine Run 7 minutes, starts at T=210424 and: 1948 msl [1824 agl]; Height gain/loss is: 4029
DG808B Motor noise registered by ENL sensor at t=['173930', '174257', '210424', '211136'] and [20, 2071, 1824, 5836]AGL"	"173929,210424"	""	""	"137,1948"	""	""	"16.0,1824.0"	""	""	"173930,174257,210424,211136"	""	""	"20.0,2071.0,1824.0,5836.0"	""	""	"210424"	"Engine_Run_Start"	"ENL"	"2017-03-10 21:04:24"	"1900-01-01 17:39:29"	"2017-03-10 20:59:24"	"2017-03-10 21:04:24"	"16.0,1824.0"	"-0.08695652173913043,-1.22"	"0.06136069498184468,5.355623409222181"	"False,False"	"112.35798171539307,122.18355584838866"	"Open Forest, Other,Open Forest, Other"	"False,True"	"180,420"	"2061, 4029"	""	""	""	"49.4,45.2"	"65.4,83.6"	"56.5,70.6"	"45.6,45.2"	"64.0,58.9"	"55.3,52.2"	"True"	""	""	""
"1129"	"06/11/2016"	"2016-06-11-CNI-20E-01.IGC"	"ASW 27-18 E (ASG-29E)"	"3:25:03"	"164837"	"201340"	"HOME"	"305"	"5944[5502]"	"93"	"34"	"-59"	"ASG29's ENL monitor reports Engine Run 14 minutes, starts at T=194336 and: 1571 msl [1092 agl]; Height gain/loss is: 2195
ASG29 Motor noise registered by ENL sensor at t=['194336', '195820'] and [1092, 3366]AGL"	"194336"	""	""	"1571"	""	""	"1092.0"	""	""	"194336,195820"	""	""	"1092.0,3366.0"	""	""	"194336"	"Engine_Run_Start"	"ENL"	"2016-06-11 19:43:36"	"1900-01-01 16:48:37"	"2016-06-11 19:38:36"	"2016-06-11 19:43:36"	"1092.0"	"-1.3566666666666667"	"7.533244499547979"	"False"	"477.06205037353516"	"Agriculture"	"True"	"840"	"2195"	""	""	""	"68.4"	"80.7"	"74.4"	"74.1"	"94.9"	"86.2"	"True"	""	""	""
"1132"	"06/10/2024"	"2024-06-10-CNI-24W-01.IGC"	"Nimeta"	" 4:07:51"	"200955"	"1746"	"HOME"	"4734"	"16791[8862]"	"1443"	"1402"	"-41"	"Nimeta's ENL monitor reports Engine Run 10 minutes, starts at T=200955 and: 4734 msl [4 agl]; Height gain/loss is: 2365
Nimeta Motor noise registered by ENL sensor at t=['200956', '202018'] and [4, 1588]AGL"	"200955"	""	""	"4734"	""	""	"4.0"	""	""	"200956,202018"	""	""	"4.0,1588.0"	""	""	"200955"	"Engine_Run_Start"	"ENL"	"2024-06-10 20:09:55"	"1900-01-01 20:09:55"	"2024-06-10 20:04:55"	"2024-06-10 20:09:55"	"4.0"	"0.0"	"0.08791960857967616"	"False"	"4713.397639960937"	"Herbaceous vegetation"	"False"	"600"	"2365"	""	""	""	""	""	""	""	""	""	""	""	""	""
"1136"	"04/26/2013"	"2013-04-26-NKL-10Q-01.IGC"	"ASW 27-18 E (ASG-29E)"	"3:13:40"	"174427"	"205807"	"HOME"	"423"	"6499[6162]"	"129"	"11"	"-118"	"ASG29's ENL monitor reports Engine Run 1 minutes, starts at T=174751 and: 2217 msl [1843 agl]; Height gain/loss is: 263
ASG29 Motor noise registered by ENL sensor at t=['174751', '174903'] and [1843, 2047]AGL"	"174751"	""	""	"2217"	""	""	"1843.0"	""	""	"174751,174903"	""	""	"1843.0,2047.0"	""	""	"174751"	"Engine_Run_Start"	"ENL"	"2013-04-26 17:47:51"	"1900-01-01 17:44:27"	"2013-04-26 17:42:51"	"2013-04-26 17:47:51"	"1843.0"	"1.8233333333333333"	"4.587608878026765"	"False"	"382.55397388793943"	"Closed Forest, Evergreen Needleleaf"	"True"	"60"	"263"	""	""	""	"57.7"	"65.2"	"62.5"	"52.1"	"71.6"	"64.4"	"False"	""	""	""
"1139"	"05/16/2015"	"2015-05-16-NKL-10R-01.IGC"	"DISCUS-2CT"	"2:59:16"	"161513"	"191429"	"HOME"	"823"	"4566[3405]"	"251"	"194"	"-57"	"Discus2ct's ENL monitor reports Engine Run 7 minutes, starts at T=170033 and: 1423 msl [613 agl]; Height gain/loss is: 1391
Discus2ct's ENL monitor reports Engine Run 6 minutes, starts at T=172013 and: 1499 msl [719 agl]; Height gain/loss is: 1338
Discus2ct Motor noise registered by ENL sensor at t=['170033', '170749', '172013', '172633'] and [613, 1312, 719, 1187]AGL"	"170033,172013"	""	""	"1423,1499"	""	""	"613.0,719.0"	""	""	"170033,170749,172013,172633"	""	""	"613.0,1312.0,719.0,1187.0"	""	""	"170033"	"Engine_Run_Start"	"ENL"	"2015-05-16 17:00:33"	"1900-01-01 16:15:13"	"2015-05-16 16:55:33"	"2015-05-16 17:00:33"	"613.0,719.0"	"-0.73,-0.5"	"5.410385027102912,5.0952526005257255"	"False,True"	"818.1975719122314,783.6360130865478"	"Agriculture,Agriculture"	"False,False"	"420,360"	"1391, 1338"	""	""	""	"46.2,45.2"	"85.8,94.9"	"72.6,76.2"	"45.6,46.5"	"84.8,94.6"	"69.3,86.8"	"True"	""	""	""
"1145"	"08/07/2010"	"2010-08-07-NKL-0W2-01.IGC"	"VENTUS 2CX"	"5:23:52"	"181415"	"233807"	"HOME"	"948"	"8129[7454]"	"289"	"290"	"1"	"V2cxa15M's ENL monitor reports Engine Run 2 minutes, starts at T=184403 and: 5741 msl [4803 agl]; Height gain/loss is: -167
V2cxa15M Motor noise registered by ENL sensor at t=['183547', '183619', '184403', '184615', '184643', '184659', '184811', '184855', '184931', '184943', '185515', '185543', '185611', '185639', '230743', '230755', '231503', '231515', '232007', '232019', '233731', '233759'] and [5144, 5020, 4803, 4633, 4586, 4603, 4554, 4360, 4226, 4134, 5365, 5279, 5160, 5027, 6798, 6830, 5627, 5696, 5541, 5332, 102, 105]AGL"	"184403"	""	""	"5741"	""	""	"4803.0"	""	""	"183547,183619,184403,184615,184643,184659,184811,184855,184931,184943,185515,185543,185611,185639,230743,230755,231503,231515,232007,232019,233731,233759"	""	""	"5144.0,5020.0,4803.0,4633.0,4586.0,4603.0,4554.0,4360.0,4226.0,4134.0,5365.0,5279.0,5160.0,5027.0,6798.0,6830.0,5627.0,5696.0,5541.0,5332.0,102.0,105.0"	""	""	"184403"	"Engine_Run_Start"	"ENL"	"2010-08-07 18:44:03"	"1900-01-01 18:14:15"	"2010-08-07 18:39:03"	"2010-08-07 18:44:03"	"4803.0"	"0.01"	"6.482782062336881"	"False"	"935.6424425817871"	"Herbaceous vegetation"	"True"	"120"	"-167"	""	""	""	""	""	""	""	""	""	""	""	""	""
"1146"	"05/21/2010"	"2010-05-21-NKL-0S3-01.IGC"	"VENTUS 2CX"	"2:41:12"	"172007"	"200119"	"HOME"	"803"	"8851[7913]"	"245"	"205"	"-40"	"Ventus2Cx18's ENL monitor reports Engine Run 1 minutes, starts at T=175619 and: 4845 msl [2966 agl]; Height gain/loss is: -229
Ventus2Cx18 Motor noise registered by ENL sensor at t=['175619', '175719'] and [2966, 2520]AGL"	"175619"	""	""	"4845"	""	""	"2966.0"	""	""	"175619,175719"	""	""	"2966.0,2520.0"	""	""	"175619"	"Engine_Run_Start"	"ENL"	"2010-05-21 17:56:19"	"1900-01-01 17:20:07"	"2010-05-21 17:51:19"	"2010-05-21 17:56:19"	"2966.0"	"1.2333333333333334"	"5.380207224595598"	"True"	"1894.1174009399415"	"Closed Forest, Deciduous Broadleaf"	"True"	"60"	"-229"	""	""	""	""	""	""	""	""	""	""	""	""	""
"1152"	"04/22/2019"	"2019-04-22-CNI-22A-01.IGC"	"VENTUS 3F"	"2:17:24"	"174050"	"195814"	"HOME"	"442"	"4704[4308]"	"135"	"72"	"-63"	"V3F18's ENL monitor reports Engine Run 5 minutes, starts at T=192611 and: 954 msl [331 agl]; Height gain/loss is: 2093
V3F18 Motor noise registered by ENL sensor at t=['192611', '193118', '195457', '195548'] and [331, 2454, 597, 722]AGL"	"192611"	""	""	"954"	""	""	"331.0"	""	""	"192611,193118,195457,195548"	""	""	"331.0,2454.0,597.0,722.0"	""	""	"192611"	"Engine_Run_Start"	"ENL"	"2019-04-22 19:26:11"	"1900-01-01 17:40:50"	"2019-04-22 19:21:11"	"2019-04-22 19:26:11"	"331.0"	"-0.51"	"5.004357357461545"	"False"	"629.6950013623047"	"Herbaceous vegetation"	"False"	"300"	"2093"	""	""	""	"45.6"	"85.6"	"71.1"	"45.5"	"82.9"	"66.3"	"True"	""	""	""
"1156"	"08/03/2017"	"2017-08-03-CNI-255-01.IGC"	"VENTUS 2CXM"	"3:54:14"	"173156"	"212610"	"HOME"	"931"	"5793[4947]"	"284"	"251"	"-33"	"Ventus2cxM's ENL monitor reports Engine Run 7 minutes, starts at T=203818 and: 1354 msl [754 agl]; Height gain/loss is: 2254
Ventus2cxM's ENL monitor reports Engine Run 6 minutes, starts at T=205506 and: 2204 msl [1611 agl]; Height gain/loss is: 1982
Ventus2cxM's ENL monitor reports Engine Run 5 minutes, starts at T=211430 and: 2244 msl [1431 agl]; Height gain/loss is: 331
Ventus2cxM Motor noise registered by ENL sensor at t=['203818', '204538', '205506', '210142', '211430', '212010'] and [754, 3087, 1611, 3537, 1431, 1657]AGL"	"203818,205506,211430"	""	""	"1354,2204,2244"	""	""	"754.0,1611.0,1431.0"	""	""	"203818,204538,205506,210142,211430,212010"	""	""	"754.0,3087.0,1611.0,3537.0,1431.0,1657.0"	""	""	"205506"	"Engine_Run_Start"	"ENL"	"2017-08-03 20:55:06"	"1900-01-01 17:31:56"	"2017-08-03 20:50:06"	"2017-08-03 20:55:06"	"754.0,1611.0,1431.0"	"-0.37,-1.0366666666666666,-1.25"	"5.552622687328115,6.675759672245166,6.498240104158345"	"False,False,False"	"595.8903245550537,599.2004005560302,810.8669950988769"	"Shrubs,Open Forest, Other,Shrubs"	"False,True,True"	"420,360,300"	"2254, 1982, 331"	""	""	""	"59.7,62.0,53.1"	"87.3,74.9,77.6"	"77.8,67.1,66.6"	"61.1,45.9,54.0"	"78.3,66.1,85.2"	"69.3,52.6,66.9"	"True"	""	""	""
"1160"	"03/12/2016"	"2016-03-12-CNI-22G-01.IGC"	"ASH 30 MI"	"3:45:44"	"172235"	"210819"	"HOME"	"134"	"5101[4967]"	"41"	"-10"	"-51"	"ASH30Mi's ENL monitor reports Engine Run 6 minutes, starts at T=172235 and: 137 msl [-3 agl]; Height gain/loss is: 2244
ASH30Mi's ENL monitor reports Engine Run 8 minutes, starts at T=203419 and: 1463 msl [1319 agl]; Height gain/loss is: 1473
ASH30Mi Motor noise registered by ENL sensor at t=['172239', '172851', '203419', '204235'] and [-3, 2214, 1319, 2802]AGL"	"172235,203419"	""	""	"137,1463"	""	""	"-3.0,1319.0"	""	""	"172239,172851,203419,204235"	""	""	"-3.0,2214.0,1319.0,2802.0"	""	""	"203419"	"Engine_Run_Start"	"ENL"	"2016-03-12 20:34:19"	"1900-01-01 17:22:35"	"2016-03-12 20:29:19"	"2016-03-12 20:34:19"	"-3.0,1319.0"	"0.03333333333333333,-1.37"	"0.10459310732573253,8.672814847864982"	"False,False"	"141.35706595458984,123.95578816101074"	"Shrubs,Closed Forest, Other"	"False,True"	"360,480"	"2244, 1473"	""	""	""	"48.2,46.1"	"80.4,77.9"	"60.0,58.0"	"45.2,54.2"	"80.8,76.6"	"61.2,64.9"	"False"	""	""	""
"1161"	"09/19/2022"	"2022-09-19-CNI-20Y-01.IGC"	"ASW 27-18 E (ASG-29E)"	"2:18:20"	"165840"	"191700"	"HOME"	"1299"	"5321[4082]"	"396"	"382"	"-14"	"ASG29E.'s ENL monitor reports Engine Run 3 minutes, starts at T=171056 and: 2263 msl [830 agl]; Height gain/loss is: 1336
ASG29E. Motor noise registered by ENL sensor at t=['171056', '171444'] and [830, 1848]AGL"	"171056"	""	""	"2263"	""	""	"830.0"	""	""	"171056,171444"	""	""	"830.0,1848.0"	""	""	"171056"	"Engine_Run_Start"	"ENL"	"2022-09-19 17:10:56"	"1900-01-01 16:58:40"	"2022-09-19 17:05:56"	"2022-09-19 17:10:56"	"830.0"	"-1.337837837837838"	"5.936549604199177"	"False"	"1459.0616768188477"	"Closed Forest, Deciduous Broadleaf"	"False"	"180"	"1336"	""	""	""	"55.8"	"60.2"	"58.0"	"46.8"	"51.6"	"49.5"	"True"	""	""	""
"1162"	"08/10/2017"	"2017-08-10-CNI-20E-01.IGC"	"ASW 27-18 E (ASG-29E)"	"4:47:58"	"180219"	"225017"	"HOME"	"948"	"7125[6293]"	"289"	"240"	"-49"	"ASG29's ENL monitor reports Engine Run 28 minutes, starts at T=220545 and: 1942 msl [1421 agl]; Height gain/loss is: 2946
ASG29 Motor noise registered by ENL sensor at t=['220545', '223409'] and [1421, 4173]AGL"	"220545"	""	""	"1942"	""	""	"1421.0"	""	""	"220545,223409"	""	""	"1421.0,4173.0"	""	""	"220545"	"Engine_Run_Start"	"ENL"	"2017-08-10 22:05:45"	"1900-01-01 18:02:19"	"2017-08-10 22:00:45"	"2017-08-10 22:05:45"	"1421.0"	"-1.08"	"6.588647269296516"	"False"	"537.7381664550782"	"Shrubs"	"True"	"1680"	"2946"	""	""	""	"62.0"	"77.9"	"68.3"	"45.9"	"94.8"	"65.4"	"True"	""	""	""
"1165"	"08/10/2010"	"2010-08-10-NKL-0W2-01.IGC"	"VENTUS 2CX"	"6:23:04"	"171926"	"234230"	"HOME"	"938"	"7349[6194]"	"286"	"273"	"-13"	"V2cxa15M's ENL monitor reports Engine Run 12 minutes, starts at T=172222 and: 2923 msl [2054 agl]; Height gain/loss is: 370
V2cxa15M's ENL monitor reports Engine Run 5 minutes, starts at T=173550 and: 3431 msl [2549 agl]; Height gain/loss is: 565
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=174106 and: 3969 msl [3087 agl]; Height gain/loss is: 207
V2cxa15M's ENL monitor reports Engine Run 18 minutes, starts at T=174334 and: 4225 msl [3336 agl]; Height gain/loss is: -118
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=180334 and: 4084 msl [3172 agl]; Height gain/loss is: 263
V2cxa15M's ENL monitor reports Engine Run 3 minutes, starts at T=180454 and: 4314 msl [3412 agl]; Height gain/loss is: 193
V2cxa15M's ENL monitor reports Engine Run 3 minutes, starts at T=180922 and: 4537 msl [3609 agl]; Height gain/loss is: -59
V2cxa15M's ENL monitor reports Engine Run 2 minutes, starts at T=182246 and: 5101 msl [4153 agl]; Height gain/loss is: -170
V2cxa15M's ENL monitor reports Engine Run 2 minutes, starts at T=182914 and: 5009 msl [4097 agl]; Height gain/loss is: -354
V2cxa15M's ENL monitor reports Engine Run 2 minutes, starts at T=183238 and: 4655 msl [3730 agl]; Height gain/loss is: -289
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=183722 and: 4852 msl [3917 agl]; Height gain/loss is: 203
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=184130 and: 5331 msl [4413 agl]; Height gain/loss is: -486
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=210218 and: 4855 msl [4304 agl]; Height gain/loss is: -328
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=215934 and: 5974 msl [4498 agl]; Height gain/loss is: -253
V2cxa15M's ENL monitor reports Engine Run 2 minutes, starts at T=220402 and: 5744 msl [4006 agl]; Height gain/loss is: -459
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=220814 and: 5170 msl [3612 agl]; Height gain/loss is: -246
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=221334 and: 5515 msl [4065 agl]; Height gain/loss is: 98
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=225414 and: 6391 msl [4718 agl]; Height gain/loss is: -279
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=230506 and: 6463 msl [4564 agl]; Height gain/loss is: -292
V2cxa15M's ENL monitor reports Engine Run 4 minutes, starts at T=231658 and: 5715 msl [4347 agl]; Height gain/loss is: 3
V2cxa15M's ENL monitor reports Engine Run 1 minutes, starts at T=232438 and: 5190 msl [3763 agl]; Height gain/loss is: -213
V2cxa15M Motor noise registered by ENL sensor at t=['172222', '173518', '173550', '174058', '174106', '174254', '174334', '180158', '180206', '180218', '180254', '180318', '180334', '180438', '180454', '180830', '180842', '180854', '180922', '181230', '181342', '181410', '181458', '181538', '181634', '181730', '182022', '182038', '182246', '182506', '182518', '182526', '182554', '182646', '182746', '182806', '182914', '183130', '183238', '183442', '183722', '183842', '183930', '184022', '184130', '184302', '185654', '185706', '185910', '185918', '190830', '190842', '191938', '191946', '194334', '194346', '194426', '194438', '194534', '194558', '194806', '194822', '202222', '202234', '203850', '203858', '210106', '210114', '210218', '210326', '210702', '210734', '210806', '210818', '211230', '211246', '211810', '211818', '212046', '212058', '213034', '213046', '213210', '213222', '213630', '213642', '214122', '214130', '214214', '214234', '214418', '214458', '214626', '214646', '215718', '215814', '215826', '215842', '215934', '220058', '220402', '220642', '220814', '220934', '220958', '221014', '221334', '221450', '221738', '221802', '222222', '222246', '222302', '222338', '222546', '222642', '222930', '222950', '223038', '223114', '223126', '223138', '223226', '223238', '224750', '224830', '224854', '224914', '225226', '225314', '225414', '225550', '225602', '225618', '225750', '225838', '230018', '230106', '230118', '230158', '230402', '230458', '230506', '230606', '231342', '231358', '231658', '232114', '232438', '232602', '234146', '234222'] and [2054, 2414, 2549, 3117, 3087, 3297, 3336, 3195, 3097, 3032, 3048, 3143, 3172, 3442, 3412, 3599, 3520, 3530, 3609, 3563, 3517, 3478, 3390, 3324, 3431, 3356, 3750, 3825, 4153, 3967, 3901, 3884, 3836, 3842, 3967, 3999, 4097, 3750, 3730, 3445, 3917, 4111, 4131, 4278, 4413, 3924, 3668, 3438, 3576, 3442, 3822, 3786, 3884, 4042, 3724, 3897, 4039, 3780, 4013, 3662, 3721, 3816, 4886, 4715, 4514, 4635, 4570, 4475, 4304, 3980, 2917, 3070, 3048, 3150, 4718, 4478, 4901, 4744, 4292, 4183, 5270, 5118, 5095, 4970, 4819, 4951, 4029, 3950, 3983, 3875, 4370, 4118, 4481, 4409, 4879, 4495, 4426, 4462, 4498, 4199, 4006, 3297, 3612, 3209, 3340, 3494, 4065, 4203, 5427, 5552, 4925, 4777, 4593, 4455, 4662, 4154, 3976, 3927, 3993, 3579, 3327, 3419, 3809, 3914, 4957, 5128, 5223, 5017, 4065, 4466, 4718, 4167, 4117, 3940, 4062, 3970, 4167, 4317, 4321, 4292, 4515, 4728, 4564, 4331, 4314, 4403, 4347, 4275, 3763, 3570, 105, 109]AGL"	"172222,173550,174106,174334,180334,180454,180922,182246,182914,183238,183722,184130,210218,215934,220402,220814,221334,225414,230506,231658,232438"	""	""	"2923,3431,3969,4225,4084,4314,4537,5101,5009,4655,4852,5331,4855,5974,5744,5170,5515,6391,6463,5715,5190"	""	""	"2054.0,2549.0,3087.0,3336.0,3172.0,3412.0,3609.0,4153.0,4097.0,3730.0,3917.0,4413.0,4304.0,4498.0,4006.0,3612.0,4065.0,4718.0,4564.0,4347.0,3763.0"	""	""	"172222,173518,173550,174058,174106,174254,174334,180158,180206,180218,180254,180318,180334,180438,180454,180830,180842,180854,180922,181230,181342,181410,181458,181538,181634,181730,182022,182038,182246,182506,182518,182526,182554,182646,182746,182806,182914,183130,183238,183442,183722,183842,183930,184022,184130,184302,185654,185706,185910,185918,190830,190842,191938,191946,194334,194346,194426,194438,194534,194558,194806,194822,202222,202234,203850,203858,210106,210114,210218,210326,210702,210734,210806,210818,211230,211246,211810,211818,212046,212058,213034,213046,213210,213222,213630,213642,214122,214130,214214,214234,214418,214458,214626,214646,215718,215814,215826,215842,215934,220058,220402,220642,220814,220934,220958,221014,221334,221450,221738,221802,222222,222246,222302,222338,222546,222642,222930,222950,223038,223114,223126,223138,223226,223238,224750,224830,224854,224914,225226,225314,225414,225550,225602,225618,225750,225838,230018,230106,230118,230158,230402,230458,230506,230606,231342,231358,231658,232114,232438,232602,234146,234222"	""	""	"2054.0,2414.0,2549.0,3117.0,3087.0,3297.0,3336.0,3195.0,3097.0,3032.0,3048.0,3143.0,3172.0,3442.0,3412.0,3599.0,3520.0,3530.0,3609.0,3563.0,3517.0,3478.0,3390.0,3324.0,3431.0,3356.0,3750.0,3825.0,4153.0,3967.0,3901.0,3884.0,3836.0,3842.0,3967.0,3999.0,4097.0,3750.0,3730.0,3445.0,3917.0,4111.0,4131.0,4278.0,4413.0,3924.0,3668.0,3438.0,3576.0,3442.0,3822.0,3786.0,3884.0,4042.0,3724.0,3897.0,4039.0,3780.0,4013.0,3662.0,3721.0,3816.0,4886.0,4715.0,4514.0,4635.0,4570.0,4475.0,4304.0,3980.0,2917.0,3070.0,3048.0,3150.0,4718.0,4478.0,4901.0,4744.0,4292.0,4183.0,5270.0,5118.0,5095.0,4970.0,4819.0,4951.0,4029.0,3950.0,3983.0,3875.0,4370.0,4118.0,4481.0,4409.0,4879.0,4495.0,4426.0,4462.0,4498.0,4199.0,4006.0,3297.0,3612.0,3209.0,3340.0,3494.0,4065.0,4203.0,5427.0,5552.0,4925.0,4777.0,4593.0,4455.0,4662.0,4154.0,3976.0,3927.0,3993.0,3579.0,3327.0,3419.0,3809.0,3914.0,4957.0,5128.0,5223.0,5017.0,4065.0,4466.0,4718.0,4167.0,4117.0,3940.0,4062.0,3970.0,4167.0,4317.0,4321.0,4292.0,4515.0,4728.0,4564.0,4331.0,4314.0,4403.0,4347.0,4275.0,3763.0,3570.0,105.0,109.0"	""	""	"172222"	"Engine_Run_Start"	"ENL"	"2010-08-10 17:22:22"	"1900-01-01 17:19:26"	"2010-08-10 17:17:22"	"2010-08-10 17:22:22"	"2054.0,2549.0,3087.0,3336.0,3172.0,3412.0,3609.0,4153.0,4097.0,3730.0,3917.0,4413.0,4304.0,4498.0,4006.0,3612.0,4065.0,4718.0,4564.0,4347.0,3763.0"	"2.0233333333333334,0.10666666666666667,0.49666666666666665,0.48,-0.4266666666666667,-0.13333333333333333,0.2966666666666667,0.7466666666666667,-0.18666666666666668,-0.23333333333333334,0.21666666666666667,0.7333333333333333,0.17,-0.67,-0.23333333333333334,-0.6466666666666666,0.36666666666666664,-0.4033333333333333,0.45,-0.25,-0.7333333333333333"	"4.122842092699008,6.138057420294266,6.043893038441221,5.966116857580544,6.411374732206911,6.5630453023144835,6.171356243183981,6.099386705531804,6.181186499059398,6.072753132895827,6.327953188364564,5.910776187406801,8.580822681000997,8.97238063820634,8.049406043784682,7.011217140969583,6.197615136740997,7.15130993223155,6.203101414031793,7.358477144629356,6.843208912726585"	"False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False"	"868.0368936523438,878.6189242797851,883.4411623449707,885.666202241211,926.5832872106934,897.1969010510254,922.0900542797851,949.1282488952637,923.9440372595215,921.7401233776856,943.9428636535645,921.5136444934082,553.334071126709,1478.8779784533692,1730.136075654297,1572.368301685791,1451.4798406066895,1674.0722390966796,1884.7815047924805,1369.6719029699707,1433.20754024292"	"Herbaceous vegetation,Agriculture,Agriculture,Agriculture,Urban,Urban,Urban,Agriculture,Urban,Agriculture,Shrubs,Shrubs,Closed Forest, Other,Closed Forest, Other,Closed Forest, Other,Open Forest, Other,Open Forest, Other,Closed Forest, Other,Closed Forest, Other,Closed Forest, Other,Open Forest, Other"	"True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True"	"720,300,60,1080,60,180,180,120,120,120,60,60,60,60,120,60,60,60,60,240,60"	"370, 565, 207, -118, 263, 193, -59, -170, -354, -289, 203, -486, -328, -253, -459, -246, 98, -279, -292, 3, -213"	""	""	""	""	""	""	""	""	""	""	""	""	""
